Date,2.9.0,2.9.0 daily return,2.9.0 cumulative return,2.9.0 drawdown,S&P 500,S&P 500 daily return,S&P 500 cumulative return,S&P 500 drawdown,,Key Statistics (2004-02-12 to 2023-02-28),,,,,,,,,,,,,
2006-12-05,"$420,137.85",0.33%,69.30%,0.00%,"$319,866.48",0.43%,28.89%,0.00%,,,,,,,,,,,,,,,
2006-12-06,"$419,949.64",-0.04%,69.22%,-0.04%,"$319,596.09",-0.08%,28.79%,-0.08%,,,,,,,,,,,,,,,
2006-12-07,"$418,841.52",-0.26%,68.78%,-0.31%,"$318,198.56",-0.44%,28.22%,-0.52%,,,,,,,,,,,,,,,
2006-12-08,"$419,383.76",0.13%,69.00%,-0.18%,"$318,784.61",0.18%,28.46%,-0.34%,,,,,,,,,,,,,,,
2006-12-11,"$420,974.65",0.38%,69.64%,0.00%,"$319,708.96",0.29%,28.83%,-0.05%,,,,,,,,,,,,,,,
2006-12-12,"$420,574.24",-0.10%,69.48%,-0.10%,"$319,460.90",-0.08%,28.73%,-0.13%,,,,,,,,,,,,,,,
2006-12-13,"$420,979.26",0.10%,69.64%,0.00%,"$319,798.88",0.11%,28.87%,-0.02%,,,,,,,,,,,,,,,
2006-12-14,"$421,415.30",0.10%,69.81%,0.00%,"$322,616.58",0.88%,30.00%,0.00%,,,,,,,,,,,,,,,
2006-12-15,"$420,792.76",-0.15%,69.56%,-0.15%,"$322,645.11",0.01%,30.01%,0.00%,,,,,,,,,,,,,,,
2006-12-18,"$418,567.95",-0.53%,68.67%,-0.68%,"$321,761.07",-0.27%,29.66%,-0.27%,,,,,,,,,,,,,,,
2006-12-19,"$419,216.54",0.15%,68.93%,-0.52%,"$322,373.17",0.19%,29.90%,-0.08%,,,,,,,,,,,,,,,
2006-12-20,"$419,555.04",0.08%,69.06%,-0.44%,"$322,191.77",-0.06%,29.83%,-0.14%,,,,,,,,,,,,,,,
2006-12-21,"$419,911.50",0.08%,69.21%,-0.36%,"$321,013.16",-0.37%,29.36%,-0.51%,,,,,,,,,,,,,,,
2006-12-22,"$418,835.74",-0.26%,68.78%,-0.62%,"$319,041.05",-0.61%,28.56%,-1.13%,,,,,,,,,,,,,,,
2006-12-26,"$421,539.57",0.65%,69.86%,0.00%,"$320,922.30",0.59%,29.32%,-0.54%,,,,,,,,,,,,,,,
2006-12-27,"$425,880.37",1.03%,71.61%,0.00%,"$323,030.23",0.66%,30.17%,0.00%,,,,,,,,,,,,,,,
2006-12-28,"$424,754.97",-0.26%,71.16%,-0.26%,"$322,350.22",-0.21%,29.90%,-0.21%,,,,,,,,,,,,,,,
2006-12-29,"$422,201.96",-0.60%,70.13%,-0.87%,"$321,012.85",-0.41%,29.36%,-0.63%,,,,,,,,,,,,,,,
2007-01-03,"$423,200.15",0.24%,70.53%,-0.63%,"$320,446.02",-0.18%,29.13%,-0.81%,,,,,,,,,,,,,,,
2007-01-04,"$422,542.52",-0.16%,70.27%,-0.79%,"$321,126.03",0.21%,29.40%,-0.59%,,,,,,,,,,,,,,,
2007-01-05,"$417,552.97",-1.18%,68.26%,-1.99%,"$318,564.77",-0.80%,28.37%,-1.40%,,,,,,,,,,,,,,,
2007-01-08,"$419,970.71",0.58%,69.23%,-1.41%,"$320,038.27",0.46%,28.96%,-0.93%,,,,,,,,,,,,,,,
2007-01-09,"$420,950.04",0.23%,69.63%,-1.17%,"$319,766.33",-0.08%,28.85%,-1.02%,,,,,,,,,,,,,,,
2007-01-10,"$421,458.65",0.12%,69.83%,-1.05%,"$320,831.76",0.33%,29.28%,-0.69%,,,,,,,,,,,,,,,
2007-01-11,"$422,055.50",0.14%,70.07%,-0.91%,"$322,237.04",0.44%,29.85%,-0.25%,,,,,,,,,,,,,,,
2007-01-12,"$423,972.47",0.45%,70.85%,-0.45%,"$324,685.13",0.76%,30.84%,0.00%,,,,,,,,,,,,,,,
2007-01-16,"$424,811.71",0.20%,71.18%,-0.25%,"$324,050.39",-0.20%,30.58%,-0.20%,,,,,,,,,,,,,,,
2007-01-17,"$426,180.19",0.32%,71.73%,0.00%,"$324,186.52",0.04%,30.64%,-0.15%,,,,,,,,,,,,,,,
2007-01-18,"$424,922.36",-0.30%,71.23%,-0.30%,"$323,098.45",-0.34%,30.20%,-0.49%,,,,,,,,,,,,,,,
2007-01-19,"$426,328.35",0.33%,71.79%,0.00%,"$323,733.18",0.20%,30.45%,-0.29%,,,,,,,,,,,,,,,
2007-01-22,"$424,469.92",-0.44%,71.05%,-0.44%,"$322,735.96",-0.31%,30.05%,-0.60%,,,,,,,,,,,,,,,
2007-01-23,"$426,248.28",0.42%,71.76%,-0.02%,"$323,687.91",0.29%,30.43%,-0.31%,,,,,,,,,,,,,,,
2007-01-24,"$429,269.19",0.71%,72.98%,0.00%,"$326,294.75",0.81%,31.48%,0.00%,,,,,,,,,,,,,,,
2007-01-25,"$425,783.99",-0.81%,71.58%,-0.82%,"$322,464.02",-1.17%,29.94%,-1.19%,,,,,,,,,,,,,,,
2007-01-26,"$426,049.66",0.06%,71.68%,-0.76%,"$322,237.35",-0.07%,29.85%,-1.26%,,,,,,,,,,,,,,,
2007-01-29,"$426,867.30",0.19%,72.01%,-0.56%,"$321,988.05",-0.08%,29.75%,-1.34%,,,,,,,,,,,,,,,
2007-01-30,"$429,156.86",0.54%,72.93%,-0.03%,"$323,665.27",0.52%,30.42%,-0.81%,,,,,,,,,,,,,,,
2007-01-31,"$432,786.06",0.85%,74.40%,0.00%,"$325,841.41",0.67%,31.30%,-0.14%,,,,,,,,,,,,,,,
2007-02-01,"$435,843.54",0.71%,75.63%,0.00%,"$327,790.89",0.60%,32.09%,0.00%,,,,,,,,,,,,,,,
2007-02-02,"$436,066.01",0.05%,75.72%,0.00%,"$328,244.22",0.14%,32.27%,0.00%,,,,,,,,,,,,,,,
2007-02-05,"$436,643.36",0.13%,75.95%,0.00%,"$328,334.77",0.03%,32.31%,0.00%,,,,,,,,,,,,,,,
2007-02-06,"$438,015.47",0.31%,76.50%,0.00%,"$328,425.31",0.03%,32.34%,0.00%,,,,,,,,,,,,,,,
2007-02-07,"$439,505.43",0.34%,77.10%,0.00%,"$329,150.59",0.22%,32.64%,0.00%,,,,,,,,,,,,,,,
2007-02-08,"$440,017.18",0.12%,77.31%,0.00%,"$328,719.89",-0.13%,32.46%,-0.13%,,,,,,,,,,,,,,,
2007-02-09,"$438,319.61",-0.39%,76.63%,-0.39%,"$326,271.81",-0.74%,31.48%,-0.88%,,,,,,,,,,,,,,,
2007-02-12,"$438,640.84",0.07%,76.76%,-0.31%,"$325,161.10",-0.34%,31.03%,-1.23%,,,,,,,,,,,,,,,
2007-02-13,"$442,309.72",0.84%,78.23%,0.00%,"$327,903.76",0.84%,32.13%,-0.38%,,,,,,,,,,,,,,,
2007-02-14,"$443,280.03",0.22%,78.63%,0.00%,"$330,057.26",0.66%,33.00%,0.00%,,,,,,,,,,,,,,,
2007-02-15,"$445,193.37",0.43%,79.40%,0.00%,"$330,487.96",0.13%,33.17%,0.00%,,,,,,,,,,,,,,,
2007-02-16,"$445,767.05",0.13%,79.63%,0.00%,"$330,329.20",-0.05%,33.11%,-0.05%,,,,,,,,,,,,,,,
2007-02-20,"$448,803.42",0.68%,80.85%,0.00%,"$331,031.84",0.21%,33.39%,0.00%,,,,,,,,,,,,,,,
2007-02-21,"$447,775.53",-0.23%,80.44%,-0.23%,"$330,895.72",-0.04%,33.34%,-0.04%,,,,,,,,,,,,,,,
2007-02-22,"$448,163.30",0.09%,80.59%,-0.14%,"$330,646.42",-0.08%,33.24%,-0.12%,,,,,,,,,,,,,,,
2007-02-23,"$447,425.46",-0.16%,80.30%,-0.31%,"$329,354.31",-0.39%,32.72%,-0.51%,,,,,,,,,,,,,,,
2007-02-26,"$448,373.92",0.21%,80.68%,-0.10%,"$329,059.74",-0.09%,32.60%,-0.60%,,,,,,,,,,,,,,,
2007-02-27,"$435,927.71",-2.78%,75.66%,-2.95%,"$316,207.54",-3.91%,27.42%,-4.69%,,,,,,,,,,,,,,,
2007-02-28,"$437,955.67",0.47%,76.48%,-2.48%,"$319,448.80",1.03%,28.73%,-3.63%,,,,,,,,,,,,,,,
2007-03-01,"$437,523.99",-0.10%,76.31%,-2.58%,"$318,496.86",-0.30%,28.34%,-3.94%,,,,,,,,,,,,,,,
2007-03-02,"$432,591.63",-1.13%,74.32%,-3.75%,"$314,325.97",-1.31%,26.66%,-5.31%,,,,,,,,,,,,,,,
2007-03-05,"$428,008.51",-1.06%,72.47%,-4.86%,"$311,334.01",-0.95%,25.46%,-6.33%,,,,,,,,,,,,,,,
2007-03-06,"$433,040.48",1.18%,74.50%,-3.64%,"$316,660.87",1.71%,27.60%,-4.54%,,,,,,,,,,,,,,,
2007-03-07,"$432,473.86",-0.13%,74.27%,-3.78%,"$316,343.66",-0.10%,27.47%,-4.64%,,,,,,,,,,,,,,,
2007-03-08,"$432,482.13",0.00%,74.27%,-3.77%,"$319,018.41",0.85%,28.55%,-3.77%,,,,,,,,,,,,,,,
2007-03-09,"$432,357.28",-0.03%,74.22%,-3.80%,"$319,108.96",0.03%,28.59%,-3.74%,,,,,,,,,,,,,,,
2007-03-12,"$435,109.42",0.64%,75.33%,-3.15%,"$319,584.93",0.15%,28.78%,-3.58%,,,,,,,,,,,,,,,
2007-03-13,"$428,699.01",-1.47%,72.75%,-4.69%,"$313,374.03",-1.94%,26.28%,-5.63%,,,,,,,,,,,,,,,
2007-03-14,"$430,179.27",0.35%,73.35%,-4.33%,"$315,708.62",0.74%,27.22%,-4.85%,,,,,,,,,,,,,,,
2007-03-15,"$433,338.61",0.73%,74.62%,-3.57%,"$316,139.32",0.14%,27.39%,-4.71%,,,,,,,,,,,,,,,
2007-03-16,"$432,264.34",-0.25%,74.19%,-3.83%,"$315,258.07",-0.28%,27.04%,-5.00%,,,,,,,,,,,,,,,
2007-03-19,"$435,920.89",0.85%,75.66%,-2.96%,"$319,058.41",1.21%,28.57%,-3.75%,,,,,,,,,,,,,,,
2007-03-20,"$439,521.45",0.83%,77.11%,-2.11%,"$320,810.68",0.55%,29.27%,-3.19%,,,,,,,,,,,,,,,
2007-03-21,"$444,701.83",1.18%,79.20%,-0.92%,"$326,090.41",1.65%,31.40%,-1.52%,,,,,,,,,,,,,,,
2007-03-22,"$445,582.94",0.20%,79.55%,-0.72%,"$325,840.17",-0.08%,31.30%,-1.59%,,,,,,,,,,,,,,,
2007-03-23,"$446,888.95",0.29%,80.08%,-0.43%,"$326,318.01",0.15%,31.49%,-1.44%,,,,,,,,,,,,,,,
2007-03-26,"$446,860.16",-0.01%,80.07%,-0.43%,"$325,885.76",-0.13%,31.32%,-1.58%,,,,,,,,,,,,,,,
2007-03-27,"$444,609.55",-0.50%,79.16%,-0.94%,"$325,112.11",-0.24%,31.01%,-1.82%,,,,,,,,,,,,,,,
2007-03-28,"$443,683.13",-0.21%,78.79%,-1.15%,"$322,745.27",-0.73%,30.05%,-2.57%,,,,,,,,,,,,,,,
2007-03-29,"$444,407.69",0.16%,79.08%,-0.99%,"$323,086.66",0.11%,30.19%,-2.46%,,,,,,,,,,,,,,,
2007-03-30,"$444,489.98",0.02%,79.11%,-0.97%,"$323,154.88",0.02%,30.22%,-2.44%,,,,,,,,,,,,,,,
2007-04-02,"$447,681.02",0.72%,80.40%,-0.25%,"$323,518.92",0.11%,30.37%,-2.32%,,,,,,,,,,,,,,,
2007-04-03,"$452,337.48",1.04%,82.28%,0.00%,"$327,000.80",1.08%,31.77%,-1.23%,,,,,,,,,,,,,,,
2007-04-04,"$451,783.24",-0.12%,82.05%,-0.12%,"$327,364.84",0.11%,31.92%,-1.12%,,,,,,,,,,,,,,,
2007-04-05,"$450,210.56",-0.35%,81.42%,-0.47%,"$328,252.29",0.27%,32.27%,-0.85%,,,,,,,,,,,,,,,
2007-04-09,"$450,903.03",0.15%,81.70%,-0.32%,"$328,707.48",0.14%,32.46%,-0.71%,,,,,,,,,,,,,,,
2007-04-10,"$452,032.36",0.25%,82.15%,-0.07%,"$329,094.46",0.12%,32.61%,-0.59%,,,,,,,,,,,,,,,
2007-04-11,"$450,411.09",-0.36%,81.50%,-0.43%,"$327,751.82",-0.41%,32.07%,-1.00%,,,,,,,,,,,,,,,
2007-04-12,"$453,046.96",0.59%,82.56%,0.00%,"$329,208.26",0.44%,32.66%,-0.55%,,,,,,,,,,,,,,,
2007-04-13,"$454,747.74",0.38%,83.25%,0.00%,"$330,710.29",0.46%,33.26%,-0.10%,,,,,,,,,,,,,,,
2007-04-16,"$458,220.56",0.76%,84.65%,0.00%,"$333,850.78",0.95%,34.53%,0.00%,,,,,,,,,,,,,,,
2007-04-17,"$458,663.75",0.10%,84.82%,0.00%,"$334,738.23",0.27%,34.89%,0.00%,,,,,,,,,,,,,,,
2007-04-18,"$457,580.14",-0.24%,84.39%,-0.24%,"$335,147.85",0.12%,35.05%,0.00%,,,,,,,,,,,,,,,
2007-04-19,"$457,339.10",-0.05%,84.29%,-0.29%,"$335,056.68",-0.03%,35.02%,-0.03%,,,,,,,,,,,,,,,
2007-04-20,"$462,047.66",1.03%,86.19%,0.00%,"$338,219.81",0.94%,36.29%,0.00%,,,,,,,,,,,,,,,
2007-04-23,"$462,317.89",0.06%,86.30%,0.00%,"$336,945.38",-0.38%,35.78%,-0.38%,,,,,,,,,,,,,,,
2007-04-24,"$465,639.12",0.72%,87.64%,0.00%,"$337,081.82",0.04%,35.83%,-0.34%,,,,,,,,,,,,,,,
2007-04-25,"$468,041.11",0.52%,88.60%,0.00%,"$340,176.73",0.92%,37.08%,0.00%,,,,,,,,,,,,,,,
2007-04-26,"$468,755.92",0.15%,88.89%,0.00%,"$340,563.71",0.11%,37.23%,0.00%,,,,,,,,,,,,,,,
2007-04-27,"$467,247.55",-0.32%,88.28%,-0.32%,"$340,290.52",-0.08%,37.12%,-0.08%,,,,,,,,,,,,,,,
2007-04-30,"$465,694.39",-0.33%,87.66%,-0.66%,"$337,468.49",-0.83%,35.99%,-0.92%,,,,,,,,,,,,,,,
2007-05-01,"$469,438.87",0.80%,89.17%,0.00%,"$338,333.30",0.26%,36.34%,-0.66%,,,,,,,,,,,,,,,
2007-05-02,"$471,379.39",0.41%,89.95%,0.00%,"$340,313.16",0.59%,37.13%,-0.07%,,,,,,,,,,,,,,,
2007-05-03,"$470,070.38",-0.28%,89.42%,-0.28%,"$342,156.59",0.54%,37.88%,0.00%,,,,,,,,,,,,,,,
2007-05-04,"$470,696.40",0.13%,89.67%,-0.15%,"$343,453.65",0.38%,38.40%,0.00%,,,,,,,,,,,,,,,
2007-05-07,"$472,259.13",0.33%,90.30%,0.00%,"$343,521.87",0.02%,38.43%,0.00%,,,,,,,,,,,,,,,
2007-05-08,"$471,799.97",-0.10%,90.12%,-0.10%,"$343,066.67",-0.13%,38.24%,-0.13%,,,,,,,,,,,,,,,
2007-05-09,"$473,707.83",0.40%,90.89%,0.00%,"$343,999.70",0.27%,38.62%,0.00%,,,,,,,,,,,,,,,
2007-05-10,"$468,226.92",-1.16%,88.68%,-1.17%,"$340,404.01",-1.05%,37.17%,-1.06%,,,,,,,,,,,,,,,
2007-05-11,"$471,708.59",0.74%,90.08%,-0.42%,"$343,316.91",0.86%,38.34%,-0.20%,,,,,,,,,,,,,,,
2007-05-14,"$470,817.91",-0.19%,89.72%,-0.61%,"$342,565.89",-0.22%,38.04%,-0.42%,,,,,,,,,,,,,,,
2007-05-15,"$469,858.00",-0.20%,89.34%,-0.82%,"$342,657.06",0.03%,38.08%,-0.39%,,,,,,,,,,,,,,,
2007-05-16,"$473,389.04",0.75%,90.76%,-0.07%,"$345,000.95",0.68%,39.02%,0.00%,,,,,,,,,,,,,,,
2007-05-17,"$472,670.09",-0.15%,90.47%,-0.22%,"$344,318.15",-0.20%,38.75%,-0.20%,,,,,,,,,,,,,,,
2007-05-18,"$474,425.86",0.37%,91.18%,0.00%,"$347,322.21",0.87%,39.96%,0.00%,,,,,,,,,,,,,,,
2007-05-21,"$475,964.10",0.32%,91.80%,0.00%,"$347,140.19",-0.05%,39.88%,-0.05%,,,,,,,,,,,,,,,
2007-05-22,"$476,569.15",0.13%,92.04%,0.00%,"$346,867.01",-0.08%,39.77%,-0.13%,,,,,,,,,,,,,,,
2007-05-23,"$474,703.16",-0.39%,91.29%,-0.39%,"$346,912.59",0.01%,39.79%,-0.12%,,,,,,,,,,,,,,,
2007-05-24,"$469,972.54",-1.00%,89.38%,-1.40%,"$343,772.10",-0.91%,38.53%,-1.03%,,,,,,,,,,,,,,,
2007-05-25,"$471,962.63",0.42%,90.18%,-0.98%,"$345,205.91",0.42%,39.11%,-0.61%,,,,,,,,,,,,,,,
2007-05-29,"$474,625.33",0.56%,91.26%,-0.41%,"$346,457.71",0.36%,39.61%,-0.25%,,,,,,,,,,,,,,,
2007-05-30,"$476,983.25",0.50%,92.21%,0.00%,"$349,279.75",0.81%,40.75%,0.00%,,,,,,,,,,,,,,,
2007-05-31,"$475,797.43",-0.25%,91.73%,-0.25%,"$348,915.71",-0.10%,40.60%,-0.10%,,,,,,,,,,,,,,,
2007-06-01,"$478,492.75",0.57%,92.81%,0.00%,"$350,645.34",0.50%,41.30%,0.00%,,,,,,,,,,,,,,,
2007-06-04,"$479,338.18",0.18%,93.16%,0.00%,"$350,690.92",0.01%,41.32%,0.00%,,,,,,,,,,,,,,,
2007-06-05,"$475,776.65",-0.74%,91.72%,-0.75%,"$349,302.69",-0.40%,40.76%,-0.40%,,,,,,,,,,,,,,,
2007-06-06,"$471,360.60",-0.93%,89.94%,-1.69%,"$345,547.62",-1.08%,39.24%,-1.49%,,,,,,,,,,,,,,,
2007-06-07,"$463,336.53",-1.70%,86.71%,-3.45%,"$339,312.22",-1.80%,36.73%,-3.35%,,,,,,,,,,,,,,,
2007-06-08,"$467,564.05",0.91%,88.41%,-2.52%,"$343,727.14",1.30%,38.51%,-2.03%,,,,,,,,,,,,,,,
2007-06-11,"$468,246.90",0.15%,88.69%,-2.37%,"$344,318.77",0.17%,38.75%,-1.85%,,,,,,,,,,,,,,,
2007-06-12,"$463,843.07",-0.94%,86.91%,-3.34%,"$340,563.71",-1.09%,37.23%,-2.97%,,,,,,,,,,,,,,,
2007-06-13,"$469,288.11",1.17%,89.11%,-2.14%,"$345,661.42",1.50%,39.29%,-1.46%,,,,,,,,,,,,,,,
2007-06-14,"$470,246.94",0.20%,89.49%,-1.93%,"$347,868.88",0.64%,40.18%,-0.81%,,,,,,,,,,,,,,,
2007-06-15,"$473,359.91",0.66%,90.75%,-1.26%,"$349,838.82",0.57%,40.97%,-0.24%,,,,,,,,,,,,,,,
2007-06-18,"$472,085.07",-0.27%,90.23%,-1.54%,"$349,427.34",-0.12%,40.81%,-0.36%,,,,,,,,,,,,,,,
2007-06-19,"$472,314.50",0.05%,90.33%,-1.49%,"$350,295.88",0.25%,41.16%,-0.11%,,,,,,,,,,,,,,,
2007-06-20,"$467,373.74",-1.05%,88.33%,-2.56%,"$345,427.93",-1.39%,39.19%,-1.52%,,,,,,,,,,,,,,,
2007-06-21,"$468,888.65",0.32%,88.94%,-2.23%,"$347,347.64",0.56%,39.97%,-0.96%,,,,,,,,,,,,,,,
2007-06-22,"$463,827.57",-1.08%,86.91%,-3.34%,"$344,079.39",-0.94%,38.65%,-1.92%,,,,,,,,,,,,,,,
2007-06-25,"$462,931.26",-0.19%,86.54%,-3.54%,"$342,433.80",-0.48%,37.99%,-2.41%,,,,,,,,,,,,,,,
2007-06-26,"$463,303.62",0.08%,86.69%,-3.46%,"$338,914.08",-1.03%,36.57%,-3.47%,,,,,,,,,,,,,,,
2007-06-27,"$467,810.62",0.97%,88.51%,-2.46%,"$343,736.44",1.42%,38.51%,-2.02%,,,,,,,,,,,,,,,
2007-06-28,"$467,333.08",-0.10%,88.32%,-2.57%,"$343,690.86",-0.01%,38.49%,-2.04%,,,,,,,,,,,,,,,
2007-06-29,"$466,920.46",-0.09%,88.15%,-2.66%,"$343,805.28",0.03%,38.54%,-2.00%,,,,,,,,,,,,,,,
2007-07-02,"$472,189.05",1.13%,90.27%,-1.51%,"$346,913.52",0.90%,39.79%,-1.09%,,,,,,,,,,,,,,,
2007-07-03,"$473,143.06",0.20%,90.66%,-1.31%,"$348,170.59",0.36%,40.30%,-0.72%,,,,,,,,,,,,,,,
2007-07-05,"$473,916.71",0.16%,90.97%,-1.14%,"$347,805.00",-0.11%,40.15%,-0.83%,,,,,,,,,,,,,,,
2007-07-06,"$474,880.06",0.20%,91.36%,-0.94%,"$349,633.24",0.53%,40.89%,-0.30%,,,,,,,,,,,,,,,
2007-07-09,"$474,437.96",-0.09%,91.18%,-1.03%,"$349,678.82",0.01%,40.91%,-0.29%,,,,,,,,,,,,,,,
2007-07-10,"$468,300.31",-1.29%,88.71%,-2.36%,"$344,924.98",-1.36%,38.99%,-1.67%,,,,,,,,,,,,,,,
2007-07-11,"$470,618.03",0.49%,89.64%,-1.85%,"$347,370.58",0.71%,39.98%,-0.96%,,,,,,,,,,,,,,,
2007-07-12,"$478,037.21",1.58%,92.63%,-0.27%,"$352,855.59",1.58%,42.19%,0.00%,,,,,,,,,,,,,,,
2007-07-13,"$480,072.14",0.43%,93.45%,0.00%,"$353,906.76",0.30%,42.61%,0.00%,,,,,,,,,,,,,,,
2007-07-16,"$478,007.37",-0.43%,92.62%,-0.43%,"$353,861.18",-0.01%,42.59%,-0.01%,,,,,,,,,,,,,,,
2007-07-17,"$479,393.69",0.29%,93.18%,-0.14%,"$353,678.23",-0.05%,42.52%,-0.06%,,,,,,,,,,,,,,,
2007-07-18,"$480,256.79",0.18%,93.53%,0.00%,"$353,038.23",-0.18%,42.26%,-0.25%,,,,,,,,,,,,,,,
2007-07-19,"$483,733.78",0.72%,94.93%,0.00%,"$354,409.40",0.39%,42.81%,0.00%,,,,,,,,,,,,,,,
2007-07-20,"$477,491.13",-1.29%,92.41%,-1.31%,"$350,821.15",-1.01%,41.37%,-1.02%,,,,,,,,,,,,,,,
2007-07-23,"$479,141.80",0.35%,93.08%,-0.96%,"$351,895.27",0.31%,41.80%,-0.71%,,,,,,,,,,,,,,,
2007-07-24,"$471,848.65",-1.52%,90.14%,-2.52%,"$345,792.90",-1.73%,39.34%,-2.49%,,,,,,,,,,,,,,,
2007-07-25,"$472,481.05",0.13%,90.39%,-2.38%,"$346,501.43",0.20%,39.63%,-2.28%,,,,,,,,,,,,,,,
2007-07-26,"$462,285.22",-2.16%,86.28%,-4.64%,"$338,296.71",-2.37%,36.32%,-4.76%,,,,,,,,,,,,,,,
2007-07-27,"$456,348.31",-1.28%,83.89%,-6.00%,"$331,646.11",-1.97%,33.64%,-6.86%,,,,,,,,,,,,,,,
2007-07-30,"$458,488.67",0.47%,84.75%,-5.51%,"$336,834.06",1.56%,35.73%,-5.22%,,,,,,,,,,,,,,,
2007-07-31,"$455,527.98",-0.65%,83.56%,-6.19%,"$333,040.23",-1.13%,34.20%,-6.42%,,,,,,,,,,,,,,,
2007-08-01,"$459,777.96",0.93%,85.27%,-5.21%,"$334,662.88",0.49%,34.86%,-5.90%,,,,,,,,,,,,,,,
2007-08-02,"$460,549.02",0.17%,85.58%,-5.03%,"$337,337.01",0.80%,35.93%,-5.06%,,,,,,,,,,,,,,,
2007-08-03,"$450,587.28",-2.16%,81.57%,-7.36%,"$328,652.29",-2.57%,32.43%,-7.84%,,,,,,,,,,,,,,,
2007-08-06,"$457,731.99",1.59%,84.45%,-5.68%,"$334,160.24",1.68%,34.65%,-6.06%,,,,,,,,,,,,,,,
2007-08-07,"$458,707.09",0.21%,84.84%,-5.46%,"$337,725.54",1.07%,36.09%,-4.94%,,,,,,,,,,,,,,,
2007-08-08,"$456,228.04",-0.54%,83.84%,-6.03%,"$342,433.49",1.39%,37.99%,-3.50%,,,,,,,,,,,,,,,
2007-08-09,"$444,459.02",-2.58%,79.10%,-8.84%,"$332,285.81",-2.96%,33.90%,-6.66%,,,,,,,,,,,,,,,
2007-08-10,"$455,399.28",2.46%,83.51%,-6.22%,"$330,731.69",-0.47%,33.27%,-7.16%,,,,,,,,,,,,,,,
2007-08-13,"$457,788.92",0.52%,84.47%,-5.67%,"$331,920.22",0.36%,33.75%,-6.78%,,,,,,,,,,,,,,,
2007-08-14,"$450,046.78",-1.69%,81.35%,-7.49%,"$326,846.38",-1.53%,31.71%,-8.43%,,,,,,,,,,,,,,,
2007-08-15,"$445,619.74",-0.98%,79.57%,-8.55%,"$322,344.02",-1.38%,29.89%,-9.95%,,,,,,,,,,,,,,,
2007-08-16,"$448,190.58",0.58%,80.60%,-7.93%,"$324,766.68",0.75%,30.87%,-9.13%,,,,,,,,,,,,,,,
2007-08-17,"$456,676.90",1.89%,84.02%,-5.92%,"$330,731.69",1.84%,33.27%,-7.16%,,,,,,,,,,,,,,,
2007-08-20,"$457,697.50",0.22%,84.43%,-5.69%,"$330,571.69",-0.05%,33.21%,-7.21%,,,,,,,,,,,,,,,
2007-08-21,"$458,552.75",0.19%,84.78%,-5.49%,"$331,234.33",0.20%,33.48%,-7.00%,,,,,,,,,,,,,,,
2007-08-22,"$463,014.06",0.97%,86.58%,-4.47%,"$335,165.21",1.19%,35.06%,-5.74%,,,,,,,,,,,,,,,
2007-08-23,"$462,472.92",-0.12%,86.36%,-4.60%,"$334,868.15",-0.09%,34.94%,-5.84%,,,,,,,,,,,,,,,
2007-08-24,"$466,455.01",0.86%,87.96%,-3.70%,"$339,004.93",1.24%,36.61%,-4.54%,,,,,,,,,,,,,,,
2007-08-27,"$462,783.14",-0.79%,86.48%,-4.53%,"$335,851.11",-0.93%,35.34%,-5.53%,,,,,,,,,,,,,,,
2007-08-28,"$454,565.57",-1.78%,83.17%,-6.42%,"$328,469.03",-2.20%,32.36%,-7.90%,,,,,,,,,,,,,,,
2007-08-29,"$462,192.83",1.68%,86.25%,-4.66%,"$334,914.05",1.96%,34.96%,-5.82%,,,,,,,,,,,,,,,
2007-08-30,"$458,842.24",-0.72%,84.90%,-5.42%,"$334,022.57",-0.27%,34.60%,-6.10%,,,,,,,,,,,,,,,
2007-08-31,"$462,750.50",0.85%,86.47%,-4.53%,"$337,313.76",0.99%,35.92%,-5.07%,,,,,,,,,,,,,,,
2007-09-04,"$466,272.58",0.76%,87.89%,-3.74%,"$340,719.06",1.01%,37.30%,-4.02%,,,,,,,,,,,,,,,
2007-09-05,"$462,255.37",-0.86%,86.27%,-4.65%,"$337,770.81",-0.87%,36.11%,-4.93%,,,,,,,,,,,,,,,
2007-09-06,"$463,927.12",0.36%,86.95%,-4.27%,"$338,547.87",0.23%,36.42%,-4.69%,,,,,,,,,,,,,,,
2007-09-07,"$457,580.64",-1.37%,84.39%,-5.72%,"$333,839.93",-1.39%,34.52%,-6.16%,,,,,,,,,,,,,,,
2007-09-10,"$456,900.50",-0.15%,84.11%,-5.87%,"$333,199.92",-0.19%,34.27%,-6.37%,,,,,,,,,,,,,,,
2007-09-11,"$460,490.33",0.79%,85.56%,-5.05%,"$337,085.23",1.17%,35.83%,-5.14%,,,,,,,,,,,,,,,
2007-09-12,"$460,796.37",0.07%,85.68%,-4.98%,"$337,953.76",0.26%,36.18%,-4.87%,,,,,,,,,,,,,,,
2007-09-13,"$462,288.44",0.32%,86.28%,-4.64%,"$340,330.52",0.70%,37.14%,-4.14%,,,,,,,,,,,,,,,
2007-09-14,"$463,763.88",0.32%,86.88%,-4.31%,"$340,307.58",-0.01%,37.13%,-4.14%,,,,,,,,,,,,,,,
2007-09-17,"$461,573.47",-0.47%,86.00%,-4.80%,"$338,479.35",-0.54%,36.39%,-4.71%,,,,,,,,,,,,,,,
2007-09-18,"$471,796.70",2.21%,90.12%,-2.53%,"$348,444.08",2.94%,40.41%,-1.71%,,,,,,,,,,,,,,,
